scenario_id,level,bn_fault_var,bn_fault_state,bfm_var,bfm_fault_state,belief,plausibility,width,empty_set_mass,rank_by_belief,rank_by_plausibility
7,L2_fault_family_prior_ignorance,F_battery,exhausted,Batt,exh,1,1,0,0,1,1
7,L2_fault_family_prior_ignorance,F_sw_1,detached,SW1,det,0.03,0.03,0,0,2,2
7,L2_fault_family_prior_ignorance,F_sw_2,detached,SW2,det,0.03,0.03,0,0,3,3
7,L2_fault_family_prior_ignorance,F_sw_3,detached,SW3,det,0.03,0.03,0,0,4,4
7,L2_fault_family_prior_ignorance,F_sw_4,detached,SW4,det,0.03,0.03,0,0,5,5
7,L2_fault_family_prior_ignorance,F_sw_5,detached,SW5,det,0.03,0.03,0,0,6,6
7,L2_fault_family_prior_ignorance,F_sw_6,detached,SW6,det,0.03,0.03,0,0,7,7
7,L2_fault_family_prior_ignorance,F_sw_7,detached,SW7,det,0.03,0.03,0,0,8,8
7,L2_fault_family_prior_ignorance,F_sw_8,detached,SW8,det,0.03,0.03,0,0,9,9
7,L2_fault_family_prior_ignorance,F_cable_1,broken,C1,bro,0.02,0.02,0,0,10,10
7,L2_fault_family_prior_ignorance,F_cable_2,broken,C2,bro,0.02,0.02,0,0,11,11
7,L2_fault_family_prior_ignorance,F_cable_3,broken,C3,bro,0.02,0.02,0,0,12,12
7,L2_fault_family_prior_ignorance,F_cable_4,broken,C4,bro,0.02,0.02,0,0,13,13
7,L2_fault_family_prior_ignorance,F_cable_5,broken,C5,bro,0.02,0.02,0,0,14,14
7,L2_fault_family_prior_ignorance,F_cable_6,broken,C6,bro,0.02,0.02,0,0,15,15
7,L2_fault_family_prior_ignorance,F_cable_7,broken,C7,bro,0.02,0.02,0,0,16,16
7,L2_fault_family_prior_ignorance,F_cable_8,broken,C8,bro,0.02,0.02,0,0,17,17
7,L2_fault_family_prior_ignorance,F_cable_load,broken,CL,bro,0.02,0.02,0,0,18,18
7,L2_fault_family_prior_ignorance,F_lamp,broken,LF,bro,0.015,0.015,0,0,19,19
7,L2_fault_family_prior_ignorance,F_PSU_short,yes,PSF,yes,0,0,0,0,20,20
8,L2_fault_family_prior_ignorance,F_lamp,broken,LF,bro,0.015,0.015,0,0.0846,1,14
8,L2_fault_family_prior_ignorance,F_sw_3,detached,SW3,det,0,1,1,0.0846,2,1
8,L2_fault_family_prior_ignorance,F_sw_4,detached,SW4,det,0,1,1,0.0846,3,2
8,L2_fault_family_prior_ignorance,F_sw_5,detached,SW5,det,0,1,1,0.0846,4,3
8,L2_fault_family_prior_ignorance,F_sw_6,detached,SW6,det,0,1,1,0.0846,5,4
8,L2_fault_family_prior_ignorance,F_sw_7,detached,SW7,det,0,1,1,0.0846,6,5
8,L2_fault_family_prior_ignorance,F_sw_8,detached,SW8,det,0,1,1,0.0846,7,6
8,L2_fault_family_prior_ignorance,F_cable_3,broken,C3,bro,0,1,1,0.0846,8,7
8,L2_fault_family_prior_ignorance,F_cable_4,broken,C4,bro,0,1,1,0.0846,9,8
8,L2_fault_family_prior_ignorance,F_cable_5,broken,C5,bro,0,1,1,0.0846,10,9
8,L2_fault_family_prior_ignorance,F_cable_6,broken,C6,bro,0,1,1,0.0846,11,10
8,L2_fault_family_prior_ignorance,F_cable_7,broken,C7,bro,0,1,1,0.0846,12,11
8,L2_fault_family_prior_ignorance,F_cable_8,broken,C8,bro,0,1,1,0.0846,13,12
8,L2_fault_family_prior_ignorance,F_cable_load,broken,CL,bro,0,1,1,0.0846,14,13
8,L2_fault_family_prior_ignorance,F_PSU_short,yes,PSF,yes,0,0,0,0.0846,15,15
8,L2_fault_family_prior_ignorance,F_battery,exhausted,Batt,exh,0,0,0,0.0846,16,16
8,L2_fault_family_prior_ignorance,F_sw_1,detached,SW1,det,0,0,0,0.0846,17,17
8,L2_fault_family_prior_ignorance,F_sw_2,detached,SW2,det,0,0,0,0.0846,18,18
8,L2_fault_family_prior_ignorance,F_cable_1,broken,C1,bro,0,0,0,0.0846,19,19
8,L2_fault_family_prior_ignorance,F_cable_2,broken,C2,bro,0,0,0,0.0846,20,20
11,L2_fault_family_prior_ignorance,F_lamp,broken,LF,bro,0.015,0.015,0,0.08435,1,18
11,L2_fault_family_prior_ignorance,F_PSU_short,yes,PSF,yes,0.00027,0.00027,0,0.08435,2,19
11,L2_fault_family_prior_ignorance,F_sw_1,detached,SW1,det,0,1,1,0.08435,3,1
11,L2_fault_family_prior_ignorance,F_sw_2,detached,SW2,det,0,1,1,0.08435,4,2
11,L2_fault_family_prior_ignorance,F_sw_3,detached,SW3,det,0,1,1,0.08435,5,3
11,L2_fault_family_prior_ignorance,F_sw_4,detached,SW4,det,0,1,1,0.08435,6,4
11,L2_fault_family_prior_ignorance,F_sw_5,detached,SW5,det,0,1,1,0.08435,7,5
11,L2_fault_family_prior_ignorance,F_sw_6,detached,SW6,det,0,1,1,0.08435,8,6
11,L2_fault_family_prior_ignorance,F_sw_7,detached,SW7,det,0,1,1,0.08435,9,7
11,L2_fault_family_prior_ignorance,F_sw_8,detached,SW8,det,0,1,1,0.08435,10,8
11,L2_fault_family_prior_ignorance,F_cable_1,broken,C1,bro,0,1,1,0.08435,11,9
11,L2_fault_family_prior_ignorance,F_cable_2,broken,C2,bro,0,1,1,0.08435,12,10
11,L2_fault_family_prior_ignorance,F_cable_3,broken,C3,bro,0,1,1,0.08435,13,11
11,L2_fault_family_prior_ignorance,F_cable_4,broken,C4,bro,0,1,1,0.08435,14,12
11,L2_fault_family_prior_ignorance,F_cable_5,broken,C5,bro,0,1,1,0.08435,15,13
11,L2_fault_family_prior_ignorance,F_cable_6,broken,C6,bro,0,1,1,0.08435,16,14
11,L2_fault_family_prior_ignorance,F_cable_7,broken,C7,bro,0,1,1,0.08435,17,15
11,L2_fault_family_prior_ignorance,F_cable_8,broken,C8,bro,0,1,1,0.08435,18,16
11,L2_fault_family_prior_ignorance,F_cable_load,broken,CL,bro,0,1,1,0.08435,19,17
11,L2_fault_family_prior_ignorance,F_battery,exhausted,Batt,exh,0,0,0,0.08435,20,20
14,L2_fault_family_prior_ignorance,F_PSU_short,yes,PSF,yes,1,1,0,0,1,1
14,L2_fault_family_prior_ignorance,F_battery,exhausted,Batt,exh,1,1,0,0,2,2
14,L2_fault_family_prior_ignorance,F_sw_1,detached,SW1,det,0.03,0.03,0,0,3,3
14,L2_fault_family_prior_ignorance,F_sw_2,detached,SW2,det,0.03,0.03,0,0,4,4
14,L2_fault_family_prior_ignorance,F_sw_3,detached,SW3,det,0.03,0.03,0,0,5,5
14,L2_fault_family_prior_ignorance,F_sw_4,detached,SW4,det,0.03,0.03,0,0,6,6
14,L2_fault_family_prior_ignorance,F_sw_5,detached,SW5,det,0.03,0.03,0,0,7,7
14,L2_fault_family_prior_ignorance,F_sw_6,detached,SW6,det,0.03,0.03,0,0,8,8
14,L2_fault_family_prior_ignorance,F_sw_7,detached,SW7,det,0.03,0.03,0,0,9,9
14,L2_fault_family_prior_ignorance,F_sw_8,detached,SW8,det,0.03,0.03,0,0,10,10
14,L2_fault_family_prior_ignorance,F_cable_1,broken,C1,bro,0.02,0.02,0,0,11,11
14,L2_fault_family_prior_ignorance,F_cable_2,broken,C2,bro,0.02,0.02,0,0,12,12
14,L2_fault_family_prior_ignorance,F_cable_3,broken,C3,bro,0.02,0.02,0,0,13,13
14,L2_fault_family_prior_ignorance,F_cable_4,broken,C4,bro,0.02,0.02,0,0,14,14
14,L2_fault_family_prior_ignorance,F_cable_5,broken,C5,bro,0.02,0.02,0,0,15,15
14,L2_fault_family_prior_ignorance,F_cable_6,broken,C6,bro,0.02,0.02,0,0,16,16
14,L2_fault_family_prior_ignorance,F_cable_7,broken,C7,bro,0.02,0.02,0,0,17,17
14,L2_fault_family_prior_ignorance,F_cable_8,broken,C8,bro,0.02,0.02,0,0,18,18
14,L2_fault_family_prior_ignorance,F_cable_load,broken,CL,bro,0.02,0.02,0,0,19,19
14,L2_fault_family_prior_ignorance,F_lamp,broken,LF,bro,0.015,0.015,0,0,20,20
