scenario_id,level,bn_fault_var,bn_fault_state,bfm_var,bfm_fault_state,belief,plausibility,width,empty_set_mass,rank_by_belief,rank_by_plausibility
7,L1_local_prior_ignorance,F_battery,exhausted,Batt,exh,1.0,1.0,0,0.005,1,1
7,L1_local_prior_ignorance,F_sw_1,detached,SW1,det,0.03,0.03,0,0.005,2,2
7,L1_local_prior_ignorance,F_sw_2,detached,SW2,det,0.03,0.03,0,0.005,3,3
7,L1_local_prior_ignorance,F_sw_3,detached,SW3,det,0.03,0.03,0,0.005,4,4
7,L1_local_prior_ignorance,F_sw_4,detached,SW4,det,0.03,0.03,0,0.005,5,5
7,L1_local_prior_ignorance,F_sw_5,detached,SW5,det,0.03,0.03,0,0.005,6,6
7,L1_local_prior_ignorance,F_sw_6,detached,SW6,det,0.03,0.03,0,0.005,7,7
7,L1_local_prior_ignorance,F_sw_7,detached,SW7,det,0.03,0.03,0,0.005,8,8
7,L1_local_prior_ignorance,F_sw_8,detached,SW8,det,0.03,0.03,0,0.005,9,9
7,L1_local_prior_ignorance,F_cable_1,broken,C1,bro,0.02,0.02,0,0.005,10,10
8,L1_local_prior_ignorance,F_sw_4,detached,SW4,det,0.03,0.03,0,0.17281,1,3
8,L1_local_prior_ignorance,F_sw_5,detached,SW5,det,0.03,0.03,0,0.17281,2,4
8,L1_local_prior_ignorance,F_sw_6,detached,SW6,det,0.03,0.03,0,0.17281,3,5
8,L1_local_prior_ignorance,F_sw_7,detached,SW7,det,0.03,0.03,0,0.17281,4,6
8,L1_local_prior_ignorance,F_sw_8,detached,SW8,det,0.03,0.03,0,0.17281,5,7
8,L1_local_prior_ignorance,F_cable_4,broken,C4,bro,0.02,0.02,0,0.17281,6,8
8,L1_local_prior_ignorance,F_cable_5,broken,C5,bro,0.02,0.02,0,0.17281,7,9
8,L1_local_prior_ignorance,F_cable_6,broken,C6,bro,0.02,0.02,0,0.17281,8,10
8,L1_local_prior_ignorance,F_cable_7,broken,C7,bro,0.02,0.02,0,0.17281,9,11
8,L1_local_prior_ignorance,F_cable_8,broken,C8,bro,0.02,0.02,0,0.17281,10,12
11,L1_local_prior_ignorance,F_sw_1,detached,SW1,det,0.03,0.03,0,0.08435,1,3
11,L1_local_prior_ignorance,F_sw_2,detached,SW2,det,0.03,0.03,0,0.08435,2,4
11,L1_local_prior_ignorance,F_sw_3,detached,SW3,det,0.03,0.03,0,0.08435,3,5
11,L1_local_prior_ignorance,F_sw_4,detached,SW4,det,0.03,0.03,0,0.08435,4,6
11,L1_local_prior_ignorance,F_sw_5,detached,SW5,det,0.03,0.03,0,0.08435,5,7
11,L1_local_prior_ignorance,F_sw_7,detached,SW7,det,0.03,0.03,0,0.08435,6,8
11,L1_local_prior_ignorance,F_sw_8,detached,SW8,det,0.03,0.03,0,0.08435,7,9
11,L1_local_prior_ignorance,F_cable_1,broken,C1,bro,0.02,0.02,0,0.08435,8,10
11,L1_local_prior_ignorance,F_cable_2,broken,C2,bro,0.02,0.02,0,0.08435,9,11
11,L1_local_prior_ignorance,F_cable_3,broken,C3,bro,0.02,0.02,0,0.08435,10,12
14,L1_local_prior_ignorance,F_PSU_short,yes,PSF,yes,1.0,1.0,0,0.0,1,1
14,L1_local_prior_ignorance,F_battery,exhausted,Batt,exh,1.0,1.0,0,0.0,2,2
14,L1_local_prior_ignorance,F_sw_1,detached,SW1,det,0.03,0.03,0,0.0,3,3
14,L1_local_prior_ignorance,F_sw_2,detached,SW2,det,0.03,0.03,0,0.0,4,4
14,L1_local_prior_ignorance,F_sw_3,detached,SW3,det,0.03,0.03,0,0.0,5,5
14,L1_local_prior_ignorance,F_sw_4,detached,SW4,det,0.03,0.03,0,0.0,6,6
14,L1_local_prior_ignorance,F_sw_5,detached,SW5,det,0.03,0.03,0,0.0,7,7
14,L1_local_prior_ignorance,F_sw_6,detached,SW6,det,0.03,0.03,0,0.0,8,8
14,L1_local_prior_ignorance,F_sw_7,detached,SW7,det,0.03,0.03,0,0.0,9,9
14,L1_local_prior_ignorance,F_sw_8,detached,SW8,det,0.03,0.03,0,0.0,10,10
